,time,position,time_server,session_id,userID
47,1642381536.2470577,results,2022-01-17 01:05:36.277000+00:00,18d156d4-e0b5-4b9f-8e47-9189825acca5,18649125
48,1642295069.0933065,start,2022-01-16 01:04:29.128000+00:00,200cfb53-a449-479d-aac9-290b09c4c7d1,19685073
49,1642305880.0887856,questions,2022-01-16 04:04:40.129000+00:00,5d65001c-7348-4ea4-ad26-5e1448c4be5c,53301670
50,1642334242.1194057,start,2022-01-16 11:57:22.147000+00:00,100dde5f-576f-4ad2-bc80-dc11fcdfc330,55015375
51,1642304598.6739182,start,2022-01-16 03:43:18.698000+00:00,3f47b0a9-04a3-42c0-8345-30b73c5d2d38,88678304
52,1642284829.6479342,questions,2022-01-15 22:13:49.674000+00:00,ea41e23d-3dd4-4203-bbc4-985ea936a14d,52357284
53,1642310309.9668906,start,2022-01-16 05:18:30.001000+00:00,8f5393cc-6784-4e77-adb6-d3eaa8c80389,2696370
54,1642399845.0523975,start,2022-01-17 06:10:45.127000+00:00,21c9a801-64ec-4d81-a669-759e55798ae6,66346579
55,1642391538.5055983,rating,2022-01-17 03:52:18.564000+00:00,cf80bd08-900a-4d1e-8ff4-2b10c4a18e79,67398425
56,1642339352.0105338,start,2022-01-16 13:22:32.035000+00:00,e8bf3ac7-031e-44ec-8d8a-cefdd283f948,30865097
57,1642304419.2524073,start,2022-01-16 03:40:19.279000+00:00,b934eaad-7a89-46b1-9772-ed88178eb632,48731161
58,1642317899.9529104,start,2022-01-16 07:24:59.982000+00:00,2f04f5e7-ec20-4ac1-886c-544a3122dd33,8033818
59,1642304406.161782,questions,2022-01-16 03:40:06.187000+00:00,1d3da15a-becd-492d-b334-627f08290cdb,58921525
60,1642387435.2477136,start,2022-01-17 02:43:55.288000+00:00,1712b874-9738-4859-89a5-590333577cf0,5040489
61,1642336409.8730972,start,2022-01-16 12:33:29.916000+00:00,951a504c-7a11-4aee-bdcd-f7fea46f899b,29823909
62,1642361852.9690008,start,2022-01-16 19:37:33.006000+00:00,2508eb38-8276-490c-a581-922cb363349a,51035677
63,1642303538.8628552,rating,2022-01-16 03:25:38.912000+00:00,dc01286c-6f85-4bc9-aa13-a31a0da321a9,75776260
64,1640046680.4860573,start,2021-12-21 00:31:20.533000+00:00,60e585a3-e3a2-44a0-b5bb-ad02c5a397f8,43998722
65,1642345462.6014543,start,2022-01-16 15:04:22.628000+00:00,3eb2677f-17aa-4638-824a-a8ca57904609,93972387
66,1640518862.9758718,rating,2021-12-26 11:41:03.028000+00:00,53ad7592-6fdd-4313-a56d-0783aed952f1,11730111
67,1642302245.6297195,rating,2022-01-16 03:04:05.663000+00:00,ac1861e3-5b85-49fc-b495-249642b34c2e,63627591
68,1642331110.949395,results,2022-01-16 11:05:10.978000+00:00,8b14bb30-30b6-4903-bd91-96f86042dfd2,96806050
69,1642323348.0724857,start,2022-01-16 08:55:48.102000+00:00,778b82a3-4965-4e21-bb03-bed1bf05df2a,14908966
70,1642392013.3317318,start,2022-01-17 04:00:13.369000+00:00,4c18f645-10de-4de6-bc7e-e6e2feecf81c,94177857
71,1642333005.2585962,rating,2022-01-16 11:36:45.303000+00:00,77ce0993-ff79-48bb-9a79-5d2d3e4797af,78834436
72,1642360390.634613,start,2022-01-16 19:13:10.665000+00:00,5434ea26-ae70-4fa1-9d8b-1b8e2f665bb5,67412280
73,1642341044.6787636,questions,2022-01-16 13:50:44.720000+00:00,c671f63d-b1e8-45ea-8d3c-81ab3d4200c6,6825991
